OB_DT,PMAIZMT
1/1/1990,105.9005126953130
2/1/1990,106.2941665649410
3/1/1990,109.8373184204100
4/1/1990,118.4983367919920
5/1/1990,121.2540969848630
6/1/1990,120.0730667114260
7/1/1990,114.9551925659180
8/1/1990,109.8373184204100
9/1/1990,102.3573608398440
10/1/1990,99.99526978
11/1/1990,99.99526978
12/1/1990,102.3573608398440
1/1/1991,105.5068130493160
2/1/1991,106.2941665649410
3/1/1991,109.0499572753910
4/1/1991,110.2310104370120
5/1/1991,105.7351608276370
6/1/1991,105.1131362915040
7/1/1991,105.7298965454100
8/1/1991,110.1188125610350
9/1/1991,108.8531265258790
10/1/1991,109.5233230590820
11/1/1991,106.7978668212890
12/1/1991,106.7206802368160
1/1/1992,109.5863571166990
2/1/1992,113.9212570190430
3/1/1992,116.6845932006840
4/1/1992,109.0551376342770
5/1/1992,109.1779098510740
6/1/1992,110.2019271850590
7/1/1992,102.3940582275390
8/1/1992,97.53993225
9/1/1992,98.2166748
10/1/1992,94.55976868
11/1/1992,95.17266083
12/1/1992,94.04341888
1/1/1993,94.09521484
2/1/1993,94.2540741
3/1/1993,97.53518677
4/1/1993,100.4873733520510
5/1/1993,99.22267151
6/1/1993,92.72621155
7/1/1993,101.8886871337890
8/1/1993,100.3128967285160
9/1/1993,101.0316772460940
10/1/1993,105.7676315307620
11/1/1993,115.9284591674800
12/1/1993,121.2294998168950
1/1/1994,126.7164535522460
2/1/1994,123.6490097045900
3/1/1994,120.1072921752930
4/1/1994,113.4167327880860
5/1/1994,110.6012573242190
6/1/1994,112.0830993652340
7/1/1994,98.73155212
8/1/1994,96.15687561
9/1/1994,97.60505676
10/1/1994,96.11000061
11/1/1994,95.60571289
12/1/1994,102.5552368164060
1/1/1995,106.8987731933590
2/1/1995,106.9776611328130
3/1/1995,109.6270675659180
4/1/1995,109.6404876708980
5/1/1995,111.9275817871090
6/1/1995,120.0074386596680
7/1/1995,127.3095626831050
8/1/1995,126.2970809936520
9/1/1995,130.5130157470700
10/1/1995,140.8163604736330
11/1/1995,143.2122344970700
12/1/1995,148.1885223388670
1/1/1996,156.6707305908200
2/1/1996,164.7122344970700
3/1/1996,170.9611511230470
4/1/1996,189.0330352783200
5/1/1996,203.9989318847660
6/1/1996,196.6393127441410
7/1/1996,197.6199951171880
8/1/1996,186.8200683593750
9/1/1996,145.2391815185550
10/1/1996,128.6087951660160
11/1/1996,117.1368408203130
12/1/1996,116.8350143432620
1/1/1997,118.6951675415040
2/1/1997,121.7462005615230
3/1/1997,127.8605804443360
4/1/1997,124.7128753662110
5/1/1997,118.6108093261720
6/1/1997,112.5813751220700
7/1/1997,106.4207229614260
8/1/1997,111.9510192871090
9/1/1997,112.2369079589840
10/1/1997,120.2442169189450
11/1/1997,117.4047622680660
12/1/1997,113.6043624877930
1/1/1998,114.3672561645510
2/1/1998,113.6187362670900
3/1/1998,113.8404388427730
4/1/1998,106.6878585815430
5/1/1998,105.9669265747070
6/1/1998,101.7516937255860
7/1/1998,100.9044799804690
8/1/1998,88.3582077
9/1/1998,85.71444702
10/1/1998,95.49475861
11/1/1998,97.38452911
12/1/1998,95.32476044
1/1/1999,97.45187378
2/1/1999,94.56400472
3/1/1999,96.42645008
4/1/1999,94.03847853
5/1/1999,92.71706567
6/1/1999,92.94701183
7/1/1999,83.59840304
8/1/1999,86.38191473
9/1/1999,87.12092088
10/1/1999,85.65047121
11/1/1999,85.40934063
12/1/1999,87.22283768
1/1/2000,92.95327496
2/1/2000,95.08161904
3/1/2000,95.16935111
4/1/2000,95.53937295
5/1/2000,95.53055089
6/1/2000,84.0395145
7/1/2000,75.05737521
8/1/2000,75.24053114
9/1/2000,80.15057627
10/1/2000,84.7072744
11/1/2000,88.93710783
12/1/2000,96.22420376
1/1/2001,94.29723327
2/1/2001,92.37751482
3/1/2001,91.01215357
4/1/2001,87.54506652
5/1/2001,85.07752309
6/1/2001,83.16066599
7/1/2001,90.75466954
8/1/2001,92.87903164
9/1/2001,89.74398849
10/1/2001,86.26773913
11/1/2001,89.88255424
12/1/2001,92.31151517
1/1/2002,91.96696059
2/1/2002,90.72819384
3/1/2002,89.85794911
4/1/2002,87.10664777
5/1/2002,90.33130502
6/1/2002,93.16980013
7/1/2002,99.70000268
8/1/2002,109.8910017857140
9/1/2002,113.9414541964290
10/1/2002,109.6468099332300
11/1/2002,108.6464293750000
12/1/2002,107.0126484821430
1/1/2003,105.8442561224490
2/1/2003,106.1410799603170
3/1/2003,105.1318789115650
4/1/2003,105.3380933673470
5/1/2003,107.9064006802720
6/1/2003,107.0253025510200
7/1/2003,97.67066497
8/1/2003,100.3495782142860
9/1/2003,103.2384552721090
10/1/2003,104.2059515527950
11/1/2003,108.1004848739500
12/1/2003,111.9922095864660
1/1/2004,116.2455882936510
2/1/2004,122.9324291353380
3/1/2004,128.4601948757760
4/1/2004,133.4394996598640
5/1/2004,129.2852157142860
6/1/2004,123.2787510204080
7/1/2004,104.4944887755100
8/1/2004,104.0931375000000
9/1/2004,97.72690527
10/1/2004,93.41514847
11/1/2004,93.75851034
12/1/2004,95.60852041
1/1/2005,96.03875875
2/1/2005,94.35939361
3/1/2005,100.0140110544220
4/1/2005,96.47087177
5/1/2005,95.36481241
6/1/2005,97.61527679
7/1/2005,105.6642871428570
8/1/2005,99.28663643
9/1/2005,97.07076837
10/1/2005,101.5512460884350
11/1/2005,95.97970643
12/1/2005,102.6760522108840
1/1/2006,102.7904075000000
